107|SF57787|1|2|XDR Der. Esp. Giro (Deg), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, XDR Der. Esp. Giro (Deg), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
108|SF57788|1|2|DKK Dinamarca (Corona), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  DKK Dinamarca (Corona), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
109|SF57789|1|2|DKK Dinamarca (Corona), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, DKK Dinamarca (Corona), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
110|SF57790|1|2|ESD Ecuador (Dólar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México,  ESD Ecuador (Dólar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
111|SF57791|1|2|ESC Ecuador (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, ESC Ecuador (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
112|SF57792|1|2|EGP Egipto (Libra), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, EGP Egipto (Libra), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
113|SF57793|1|2|EGP Egipto (Libra), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, EGP Egipto (Libra), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
114|SF57794|1|2|SVC El Salvador (Colon), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, SVC El Salvador (Colon), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
115|SF57795|1|2|SVC El Salvador (Colon), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, SVC El Salvador (Colon), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
116|SF57796|1|2|AED Em. Árabes Unidos (Dirham), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, AED Em. Árabes Unidos (Dirham), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
117|SF57797|1|2|AED Em. Árabes Unidos (Dirham), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, AED Em. Árabes Unidos (Dirham), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
118|SF57804|1|2|USD E.U.A. (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, USD E.U.A. (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
119|SF57805|1|2|USD E.U.A. (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, USD E.U.A. (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
120|SF57806|1|2|RUB Fed. Rusa (Rublo), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  RUB Fed. Rusa (Rublo), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
121|SF57807|1|2|RUB Fed. Rusa (Rublo), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México,  RUB Fed. Rusa (Rublo), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
122|SF57808|1|2|FJD Fidji (En Decimal) (Dólar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México,  FJD Fidji (En Decimal) (Dólar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
123|SF57809|1|2|FJD Fidji (En Decimal) (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, FJD Fidji (En Decimal) (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
124|SF57810|1|2|PHP Filipinas (Peso), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, PHP Filipinas (Peso), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
125|SF57811|1|2|PHP Filipinas (Peso), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, PHP Filipinas (Peso), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
126|SF57814|1|2|STG Gran Bretaña (Libra Esterlina), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México,  STG Gran Bretaña (Libra Esterlina), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
127|SF57815|1|2|STG Gran Bretaña (Libra Esterlina), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, STG Gran Bretaña (Libra Esterlina), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
